x,y,z
0.0,0.0,-0.4594629406929016
0.0,0.0,-0.8576098680496216
0.0,0.0,-1.3706681728363037
0.0,0.0,-1.8769913911819458
0.0,0.0,-2.403838634490967
0.0,0.0,-2.903503656387329
0.0,0.0,-3.406022310256958
0.0,0.0,-3.968270778656006
0.0,0.0,-4.5065226554870605
0.0,0.0,-5.017854690551758
0.0,0.0,-5.532176971435547
0.0,0.0,-6.058460235595703
0.0,0.0,-6.60268497467041
0.0,0.0,-7.111026763916016
0.0,0.0,-7.640300273895264
0.0,0.0,-8.211403846740723
0.0,0.0,-8.719664573669434
0.0,0.0,-9.245863914489746
-1.135048576998227e-19,2.203522399213398e-06,-9.633331298828125
8.772449433536167e-09,0.0920279398560524,-9.618054389953613
8.201576662258958e-08,0.39111649990081787,-9.608053207397461
1.591275093915101e-07,0.7998453378677368,-9.596423149108887
2.0280192813970643e-07,1.2639083862304688,-9.587739944458008
2.2849395975299558e-07,1.745290756225586,-9.58190631866455
2.398413414539391e-07,2.238532304763794,-9.577837944030762
2.4219448846451996e-07,2.7521848678588867,-9.574759483337402
2.5131132019851066e-07,3.2745327949523926,-9.572304725646973
2.8833403575845296e-07,3.7832834720611572,-9.570279121398926
3.746511936242314e-07,4.313455581665039,-9.568387031555176
4.710715870714921e-07,4.900542736053467,-9.566448211669922
5.108411755827547e-07,5.416224479675293,-9.564798355102539
5.369593054638244e-07,5.926007270812988,-9.563167572021484
5.655091399603407e-07,6.432808876037598,-9.561546325683594
6.211888035068114e-07,6.945572853088379,-9.559906005859375
7.04861008671287e-07,7.437468528747559,-9.558332443237305
7.676619588892208e-07,7.947251319885254,-9.55670166015625
7.927129672680167e-07,8.45703411102295,-9.555070877075195
8.077814754869905e-07,8.96979808807373,-9.553430557250977
