timestamp,x,y,z
1761548217.712502,-40.0,-0.4528529942035675,-16.51677703857422
1761548219.839585,-39.93307113647461,-1.2442326545715332,-20.29425048828125
1761548221.949412,-37.042152404785156,-1.1773780584335327,-20.40900230407715
1761548224.271351,-31.954782485961914,-1.0841093063354492,-20.403535842895508
1761548226.5625017,-28.181955337524414,-0.2960512042045593,-20.40802574157715
1761548228.8134398,-23.197242736816406,-0.38424384593963623,-20.428163528442383
1761548231.0469766,-19.284345626831055,-0.27867335081100464,-20.42535972595215
1761548233.1043584,-15.326313972473145,-0.276885062456131,-20.41998863220215
1761548235.201147,-10.754443168640137,-0.13172227144241333,-20.482086181640625
1761548237.2742913,-8.884461402893066,2.834652900695801,-20.79553985595703
1761548239.3910458,-5.5637359619140625,2.3615739345550537,-21.07276153564453
1761548241.4477654,-2.006160259246826,2.34586763381958,-21.103878021240234
