 Num Of Points,  x obs meter,y obs meter, z obs meter, obs type
473,64,-806,-100,10
473,64,-804,-100,10
473,66,-806,-100,10
473,66,-804,-100,10
473,-4,-970,-100,13
473,-4,-962,-100,13
473,4,-970,-100,13
473,4,-962,-100,13
473,-1158,-862,-100,31
473,-1158,-790,-100,31
473,-1116,-866,-100,31
473,-1086,-866,-100,31
473,-1086,-790,-100,31
473,52,-656,-100,32
473,52,-594,-100,32
473,114,-656,-100,32
473,114,-594,-100,32
473,-990,-1136,-100,34
473,-990,-1128,-100,34
473,-988,-1142,-100,34
473,-988,-1120,-100,34
473,-984,-1150,-100,34
473,-984,-1114,-100,34
473,-980,-1154,-100,34
473,-980,-1110,-100,34
473,-974,-1106,-100,34
473,-972,-1158,-100,34
473,-970,-1104,-100,34
473,-966,-1160,-100,34
473,-958,-1160,-100,34
473,-954,-1104,-100,34
473,-950,-1158,-100,34
473,-948,-1106,-100,34
473,-944,-1154,-100,34
473,-942,-1110,-100,34
473,-938,-1148,-100,34
473,-938,-1114,-100,34
473,-936,-1118,-100,34
473,-934,-1140,-100,34
473,-934,-1124,-100,34
473,-982,-764,-100,35
473,-982,-746,-100,35
473,-980,-768,-100,35
473,-978,-738,-100,35
473,-976,-772,-100,35
473,-970,-728,-100,35
473,-964,-772,-100,35
473,-962,-724,-100,35
473,-952,-722,-100,35
473,-938,-722,-100,35
473,-934,-762,-100,35
473,-930,-726,-100,35
473,-926,-754,-100,35
473,-926,-730,-100,35
473,-924,-750,-100,35
473,-924,-734,-100,35
473,-922,-744,-100,35
473,-922,-742,-100,35
473,-1152,-934,-100,36
473,-1138,-960,-100,36
473,-1132,-970,-100,36
473,-1130,-972,-100,36
473,-1128,-970,-100,36
473,-1124,-964,-100,36
473,-1110,-938,-100,36
473,-1108,-934,-100,36
473,-986,-408,-100,37
473,-984,-408,-100,37
473,-980,-426,-100,37
473,-962,-474,-100,37
473,-960,-474,-100,37
473,-950,-414,-100,37
473,-938,-448,-100,37
473,-958,-1078,-100,38
473,-958,-1048,-100,38
473,-928,-1078,-100,38
473,-928,-1048,-100,38
473,-982,-978,-100,39
473,-982,-946,-100,39
473,-952,-978,-100,39
473,-952,-946,-100,39
473,-750,-854,-100,44
473,-750,-826,-100,44
473,-744,-824,-100,44
473,-730,-856,-100,44
473,-726,-856,-100,44
473,-726,-824,-100,44
473,-720,-852,-100,44
473,-720,-826,-100,44
473,-78,-1138,-100,49
473,-78,-1136,-100,49
473,-76,-1142,-100,49
473,-76,-1132,-100,49
473,-74,-1144,-100,49
473,-74,-1130,-100,49
473,-68,-1144,-100,49
473,-68,-1130,-100,49
473,-64,-1140,-100,49
473,-64,-1134,-100,49
473,-118,-1060,-100,56
473,-118,-1052,-100,56
473,-110,-1060,-100,56
473,-110,-1052,-100,56
473,-46,-1154,-100,58
473,-46,-1108,-100,58
473,-36,-1108,-100,58
473,-6,-1110,-100,58
473,-2,-1154,-100,58
473,-2,-1114,-100,58
473,0,-1144,-100,58
473,0,-1118,-100,58
473,-588,-976,-100,70
473,-588,-946,-100,70
473,-556,-976,-100,70
473,-556,-946,-100,70
473,-818,-1052,-100,71
473,-818,-1020,-100,71
473,-788,-1052,-100,71
473,-788,-1020,-100,71
473,-966,-650,-100,74
473,-966,-618,-100,74
473,-936,-650,-100,74
473,-936,-618,-100,74
473,-816,-970,-100,75
473,-816,-940,-100,75
473,-786,-970,-100,75
473,-786,-940,-100,75
